Cyców,363,3
Czajków,228,12
Czaplinek,98,13
Czarna,355,8
Czarna,73,8
Czarna,102,8
Czarna Białostocka,69,9
Czarna Dąbrówka,85,10
Czarna Woda,287,10
Czarne,97,10
Czarnia,227,5
Czarnków,95,12
Czarnocin,142,16
Czarnocin,238,14
Czarnożyły,323,14
Czarny Bór,319,1
Czarny Dunajec,211,6
Czastary,324,14
Czchów,80,6
Czechowice-Dziedzice,71,15
Czeladź,86,15
Czemierniki,264,3
Czempiń,153,12
Czeremcha,127,9
Czermin,241,12
Czermin,189,8
Czernica,329,1
Czernice Borowe,249,5
Czernichów,155,6
Czernichów,380,15
Czerniejewo,109,12
Czerniewice,311,14
Czernikowo,313,2
Czersk,90,10
Czerwieńsk,347,4
Czerwin,227,5
Czerwionka-Leszczyny,268,15
Czerwińsk nad Wisłą,259,5
Czerwonak,245,12
Czerwonka,186,5
Czorsztyn,211,6
Czosnów,207,5
Czudec,292,8
Czyże,127,9
Czyżew,332,9
Częstochowa,8,15
Człopa,320,13
Człuchów,97,10
Daleszyce,143,16
Dalików,242,14
Damasławek,335,12
Damnica,305,10
Darłowo,302,13
Daszyna,362,14
Debrzno,97,10
Deszczno,113,4
Dmosin,81,14
Dobczyce,199,6
Dobiegniew,290,4
Dobra,356,13
Dobra,316,12
Dobra,175,6
Dobra (Szczecińska),243,13
Dobrcz,84,2
Dobre,263,2
Dobre,194,5
Dobre Miasto,219,11
Dobrodzień,216,7
Dobromierz,370,1
Dobroszyce,217,1
Dobroń,233,14
Dobryszyce,262,14
Dobrzany,286,13
Dobrzeń Wielki,223,7
Dobrzyca,241,12
Dobrzyniewo Duże,69,9
Dobrzyń nad Wisłą,176,2
Dolice,286,13
Dolsk,368,12
Domanice,275,5
Domaniewice,359,14
Domaniów,231,1
Domaradz,82,8
Domaszowice,203,7
Dominowo,366,12
Dopiewo,245,12
Dorohusk,88,3
Doruchów,228,12
Dołhobyczów,128,3
Dragacz,373,2
Drawno,91,13
Drawsko,95,12
Drawsko Pomorskie,98,13
Drelów,66,3
Drezdenko,290,4
Drobin,258,5
Drohiczyn,276,9
Drużbice,65,14
Drwinia,75,6
Drzewica,221,14
Drzycim,373,2
Dubeninki,116,11
Dubicze Cerkiewne,127,9
Dubiecko,250,8
Dubienka,88,3
Dukla,160,8
Duszniki,296,12
Duszniki-Zdrój,168,1
Dwikozy,272,16
Dydnia,82,8
Dygowo,152,13
Dynów,271,8
Dywity,219,11
Dziadkowice,276,9
Dziadowa Kłoda,217,1
Działdowo,99,11
Działoszyce,240,16
Działoszyn,234,14
Dziemiany,154,10
Dzierzgowo,201,5
Dzierzgoń,299,10
Dzierzkowice,158,3
Dzierzążnia,259,5
Dzierżoniów,100,1
Dzikowiec,145,8
Dziwnów,139,13
Dzwola,131,3
Dąbie,161,4
Dąbie,147,12
Dąbrowa,223,7
Dąbrowa,195,2
Dąbrowa Białostocka,283,9
Dąbrowa Biskupia,129,2
Dąbrowa Chełmińska,84,2
Dąbrowa Górnicza,9,15
Dąbrowa Tarnowska,101,6
Dąbrowa Zielona,96,15
Dąbrowice,162,14
Dąbrówka,327,5
Dąbrówno,229,11
Dębe Wielkie,194,5
Dębica,102,8
Dęblin,269,3
Dębnica Kaszubska,305,10
Dębno,80,6
Dębno,200,13
Dębowa Kłoda,235,3
Dębowa Łąka,334,2
Dębowiec,94,15
Dębowiec,134,8
Długosiodło,333,5
Długołęka,329,1
Dłutów,233,14
Dźwierzuty,298,11
Elbląg,103,11
Elbląg,10,11
Ełk,104,11
Fabianki,338,2
Fajsławice,157,3
Fałków,148,16
Filipów,295,9
Firlej,179,3
Frampol,74,3
Fredropol,250,8
Frombork,77,11
Frysztak,292,8
Galewice,324,14
Garbatka-Letnisko,151,5
Garbów,181,3
Gardeja,163,10
Garwolin,105,5
Gaszowice,268,15
Gaworzyce,244,1
Gawłuszowice,189,8
Gać,251,8
Gdańsk,11,10
Gdynia,12,10
Gdów,322,6
Giby,274,9
Gidle,262,14
Gielniów,252,5
Gierałtowice,108,15
Gietrzwałd,219,11
Gilowice,380,15
Gizałki,241,12
Giżycko,107,11
Glinojeck,93,5
Gliwice,13,15
Gniew,310,10
Gniewino,321,10
Gniewkowo,129,2
Gniewoszów,151,5
Gniezno,109,12
Gnojnik,80,6
Gnojno,83,16
Goczałkowice-Zdrój,253,15
Godkowo,103,11
Godzianów,280,14
Godziesze Wielkie,137,12
Godziszów,131,3
Godów,325,15
Gogolin,156,7
Golczewo,139,13
Goleniów,110,13
Goleszów,94,15
Golina,149,12
Golub-Dobrzyń,111,2
Gomunice,262,14
Goniądz,196,9
Goraj,74,3
Gorlice,112,6
Gorzkowice,238,14
Gorzków,157,3
Gorzyce,306,8
Gorzyce,325,15
Gorzów Wielkopolski,14,4
Gorzów Śląski,216,7
Gostycyn,315,2
Gostynin,114,5
Gostyń,115,12
Goszczanów,277,14
Goszczyn,123,5
Gowarczów,148,16
Goworowo,227,5
Gozdnica,375,4
Gozdowo,278,5
Gołańcz,335,12
Gołcza,188,6
Gołdap,116,11
Gołuchów,241,12
Gołymin-Ośrodek,93,5
Gościeradów,158,3
Gościno,152,13
Grabica,238,14
Grabowiec,342,3
Grabowo,146,9
Grabów,362,14
Grabów nad Pilicą,151,5
Grabów nad Prosną,228,12
Grajewo,117,9
Granowo,118,12
Grodków,79,7
Grodziczno,208,11
Grodziec,149,12
Grodzisk,276,9
Grodzisk Mazowiecki,119,5
Grodzisk Wielkopolski,118,12
Grodzisko Dolne,173,8
Gromadka,76,1
Gromnik,308,6
Gronowo Elbląskie,103,11
Grudusk,93,5
Grudziądz,15,2
Grudziądz,120,2
Grunwald,229,11
Gruta,120,2
Grybów,210,6
Gryfice,121,13
Gryfino,122,13
Gryfów Śląski,184,1
Grzegorzew,147,12
Grzmiąca,297,13
Gródek,69,9
Gródek nad Dunajcem,210,6
Grójec,123,5
Grębków,337,5
Grębocice,244,1
Gręboszów,101,6
Grębów,306,8
Gubin,161,4
Gzy,256,5
Góra,124,1
Góra Kalwaria,236,5
Góra Świętej Małgorzaty,362,14
Górno,143,16
Górowo Iławeckie,64,11
Górzno,78,2
Górzno,105,5
Górzyca,303,4
Gózd,261,5
Gąbin,258,5
Gąsawa,377,2
Głogów,125,1
Głogów Małopolski,271,8
Głogówek,247,7
Głowaczów,151,5
Głowno,345,14
Głubczyce,126,7
Głuchołazy,213,7
Głuchów,280,14
Głusk,181,3
Głuszyca,319,1
Główczyce,305,10
Haczów,82,8
Hajnówka,127,9
Halinów,194,5
Hanna,339,3
Harasiuki,205,8
Hańsk,339,3
Hażlach,94,15
Hel,254,10
Herby,183,15
Horodło,128,3
Horyniec-Zdrój,178,8
Hrubieszów,128,3
Huszlew,358,5
Hyżne,271,8
Igołomia-Wawrzeńczyce,155,6
Imielin,72,15
Imielno,136,16
Inowrocław,129,2
Inowłódz,311,14
Irządze,343,15
Istebna,94,15
Iwaniska,220,16
Iwanowice,155,6
Iwierzyce,267,8
Iwkowa,80,6
Iwonicz-Zdrój,160,8
Izabelin,318,5
Izbica,157,3
Izbica Kujawska,338,2
Izbicko,289,7
Iława,130,11
Iłowa,375,4
Iłowo-Osada,99,11
Iłów,281,5
Iłża,261,5
Ińsko,286,13
Jabłonka,211,6
Jabłonna,181,3
Jabłonna,169,5
Jabłonna Lacka,282,5
Jabłonowo Pomorskie,78,2
Jabłoń,235,3
Jadów,327,5
Jaktorów,119,5
Jakubów,194,5
Janikowo,129,2
Janowice Wielkie,140,1
Janowiec,255,3
Janowiec Kościelny,204,11
Janowiec Wielkopolski,377,2
Janowo,204,11
Janów,283,9
Janów,96,15
Janów Lubelski,131,3
Janów Podlaski,66,3
Jaraczewo,132,12
Jarczów,312,3
Jarocin,132,12
Jarocin,205,8
Jarosław,133,8
Jasienica,71,15
Jasienica Rosielna,82,8
Jasieniec,123,5
Jasień,376,4
Jasionówka,196,9
